---------------------------------------------
NOTE: The Hardness and Resistance values are the raw base values in the fields
of the Block class in question. The actual final values may be different
for different states of the block, or they may depend on a TileEntity etc.
---------------------------------------------
Mod name, Registry name, Hardness, Resistance
Atlantis, atlantis:light_blue_colored_shell_block, 3.00, 7.00
Atlantis, atlantis:light_blue_pearl_block, 2.00, 5.00
Atlantis, atlantis:light_gray_colored_shell_block, 3.00, 7.00
Atlantis, atlantis:light_gray_pearl_block, 2.00, 5.00
Atlantis, atlantis:lime_colored_shell_block, 3.00, 7.00
Atlantis, atlantis:lime_pearl_block, 2.00, 5.00
Atlantis, atlantis:magenta_colored_shell_block, 3.00, 7.00
Atlantis, atlantis:magenta_pearl_block, 2.00, 5.00
Atlantis, atlantis:ocean_lantern, 2.00, 10.00
Atlantis, atlantis:orange_colored_shell_block, 3.00, 7.00
Atlantis, atlantis:orange_pearl_block, 2.00, 5.00
Atlantis, atlantis:oyster_shell_block, 2.00, 6.00
Atlantis, atlantis:pink_colored_shell_block, 3.00, 7.00
Atlantis, atlantis:pink_pearl_block, 2.00, 5.00
Atlantis, atlantis:purple_colored_shell_block, 3.00, 7.00
Atlantis, atlantis:purple_pearl_block, 2.00, 5.00
Atlantis, atlantis:red_colored_shell_block, 3.00, 7.00
Atlantis, atlantis:red_pearl_block, 2.00, 5.00
Atlantis, atlantis:underwater_flower, 0.20, 0.40
Atlantis, atlantis:white_colored_shell_block, 3.00, 7.00
Atlantis, atlantis:white_pearl_block, 2.00, 5.00
Atlantis, atlantis:yellow_colored_shell_block, 3.00, 7.00
Atlantis, atlantis:yellow_pearl_block, 2.00, 5.00
Atum 2, atum:acacia_curio_display, 1.50, 1.00
Atum 2, atum:alabaster, 2.00, 8.00
Atum 2, atum:alabaster_brick_carved, 2.00, 8.00
Atum 2, atum:alabaster_brick_pillar, 2.00, 8.00
Atum 2, atum:alabaster_brick_polished, 2.00, 8.00
Atum 2, atum:alabaster_brick_smooth, 2.00, 8.00
Atum 2, atum:alabaster_brick_tiled, 2.00, 8.00
Atum 2, atum:alabaster_carved_slab, 2.00, 8.00
Atum 2, atum:alabaster_carved_stairs, 2.00, 8.00
Atum 2, atum:alabaster_carved_wall, 2.00, 8.00
Atum 2, atum:alabaster_curio_display, 1.50, 1.00
Atum 2, atum:alabaster_pillar_slab, 2.00, 8.00
Atum 2, atum:alabaster_pillar_stairs, 2.00, 8.00
Atum 2, atum:alabaster_pillar_wall, 2.00, 8.00
Atum 2, atum:alabaster_polished_slab, 2.00, 8.00
Atum 2, atum:alabaster_polished_stairs, 2.00, 8.00
Atum 2, atum:alabaster_polished_wall, 2.00, 8.00
Atum 2, atum:alabaster_smooth_slab, 2.00, 8.00
Atum 2, atum:alabaster_smooth_stairs, 2.00, 8.00
Atum 2, atum:alabaster_smooth_wall, 2.00, 8.00
Atum 2, atum:alabaster_tiled_slab, 2.00, 8.00
Atum 2, atum:alabaster_tiled_stairs, 2.00, 8.00
Atum 2, atum:alabaster_tiled_wall, 2.00, 8.00
Atum 2, atum:anput_godforged_block, 50.00, 1200.00
Atum 2, atum:anputs_fingers, 0.00, 0.00
Atum 2, atum:anubis_godforged_block, 50.00, 1200.00
Atum 2, atum:arrow_trap, 1.50, 1.50
Atum 2, atum:atem_godforged_block, 50.00, 1200.00
Atum 2, atum:black_stained_crystal_glass, 0.30, 0.30
Atum 2, atum:black_stained_crystal_glass_pane, 0.30, 0.30
Atum 2, atum:black_stained_deadwood_framed_crystal_glass, 0.30, 0.30
Atum 2, atum:black_stained_deadwood_framed_crystal_glass_pane, 0.30, 0.30
Atum 2, atum:black_stained_palm_framed_crystal_glass, 0.30, 0.30
Atum 2, atum:black_stained_palm_framed_crystal_glass_pane, 0.30, 0.30
Atum 2, atum:blue_stained_crystal_glass, 0.30, 0.30
Atum 2, atum:blue_stained_crystal_glass_pane, 0.30, 0.30
Atum 2, atum:blue_stained_deadwood_framed_crystal_glass, 0.30, 0.30
Atum 2, atum:blue_stained_deadwood_framed_crystal_glass_pane, 0.30, 0.30
Atum 2, atum:blue_stained_palm_framed_crystal_glass, 0.30, 0.30
Atum 2, atum:blue_stained_palm_framed_crystal_glass_pane, 0.30, 0.30
Atum 2, atum:bone_ladder, 0.40, 0.40
Atum 2, atum:bone_ore, 3.00, 3.00
Atum 2, atum:bone_torch, 0.00, 0.00
Atum 2, atum:bone_torch_unlit, 0.00, 0.00
Atum 2, atum:brown_stained_crystal_glass, 0.30, 0.30
Atum 2, atum:brown_stained_crystal_glass_pane, 0.30, 0.30
Atum 2, atum:brown_stained_deadwood_framed_crystal_glass, 0.30, 0.30
Atum 2, atum:brown_stained_deadwood_framed_crystal_glass_pane, 0.30, 0.30
Atum 2, atum:brown_stained_palm_framed_crystal_glass, 0.30, 0.30
Atum 2, atum:brown_stained_palm_framed_crystal_glass_pane, 0.30, 0.30
Atum 2, atum:burning_trap, 1.50, 1.50
Atum 2, atum:carved_stairs, 1.50, 8.00
Atum 2, atum:carved_wall, 1.50, 8.00
Atum 2, atum:ceramic_black, 1.50, 6.00
Atum 2, atum:ceramic_blue, 1.50, 6.00
Atum 2, atum:ceramic_brown, 1.50, 6.00
Atum 2, atum:ceramic_cyan, 1.50, 6.00
Atum 2, atum:ceramic_gray, 1.50, 6.00
Atum 2, atum:ceramic_green, 1.50, 6.00
Atum 2, atum:ceramic_light_blue, 1.50, 6.00
Atum 2, atum:ceramic_light_gray, 1.50, 6.00
Atum 2, atum:ceramic_lime, 1.50, 6.00
Atum 2, atum:ceramic_magenta, 1.50, 6.00
Atum 2, atum:ceramic_orange, 1.50, 6.00
Atum 2, atum:ceramic_pink, 1.50, 6.00
Atum 2, atum:ceramic_purple, 1.50, 6.00
Atum 2, atum:ceramic_red, 1.50, 6.00
Atum 2, atum:ceramic_slab_black, 1.50, 6.00
Atum 2, atum:ceramic_slab_blue, 1.50, 6.00
Atum 2, atum:ceramic_slab_brown, 1.50, 6.00
Atum 2, atum:ceramic_slab_cyan, 1.50, 6.00
Atum 2, atum:ceramic_slab_gray, 1.50, 6.00
Atum 2, atum:ceramic_slab_green, 1.50, 6.00
Atum 2, atum:ceramic_slab_light_blue, 1.50, 6.00
Atum 2, atum:ceramic_slab_light_gray, 1.50, 6.00
Atum 2, atum:ceramic_slab_lime, 1.50, 6.00
Atum 2, atum:ceramic_slab_magenta, 1.50, 6.00
Atum 2, atum:ceramic_slab_orange, 1.50, 6.00
Atum 2, atum:ceramic_slab_pink, 1.50, 6.00
Atum 2, atum:ceramic_slab_purple, 1.50, 6.00
Atum 2, atum:ceramic_slab_red, 1.50, 6.00
Atum 2, atum:ceramic_slab_white, 1.50, 6.00
Atum 2, atum:ceramic_slab_yellow, 1.50, 6.00
Atum 2, atum:ceramic_stairs_black, 1.50, 6.00
Atum 2, atum:ceramic_stairs_blue, 1.50, 6.00
Atum 2, atum:ceramic_stairs_brown, 1.50, 6.00
Atum 2, atum:ceramic_stairs_cyan, 1.50, 6.00
Atum 2, atum:ceramic_stairs_gray, 1.50, 6.00
Atum 2, atum:ceramic_stairs_green, 1.50, 6.00
Atum 2, atum:ceramic_stairs_light_blue, 1.50, 6.00
Atum 2, atum:ceramic_stairs_light_gray, 1.50, 6.00
Atum 2, atum:ceramic_stairs_lime, 1.50, 6.00
Atum 2, atum:ceramic_stairs_magenta, 1.50, 6.00
Atum 2, atum:ceramic_stairs_orange, 1.50, 6.00
Atum 2, atum:ceramic_stairs_pink, 1.50, 6.00
Atum 2, atum:ceramic_stairs_purple, 1.50, 6.00
Atum 2, atum:ceramic_stairs_red, 1.50, 6.00
Atum 2, atum:ceramic_stairs_white, 1.50, 6.00
Atum 2, atum:ceramic_stairs_yellow, 1.50, 6.00
Atum 2, atum:ceramic_tile_black, 0.50, 0.50
Atum 2, atum:ceramic_tile_blue, 0.50, 0.50
Atum 2, atum:ceramic_tile_brown, 0.50, 0.50
Atum 2, atum:ceramic_tile_cyan, 0.50, 0.50
Atum 2, atum:ceramic_tile_gray, 0.50, 0.50
Atum 2, atum:ceramic_tile_green, 0.50, 0.50
Atum 2, atum:ceramic_tile_light_blue, 0.50, 0.50
Atum 2, atum:ceramic_tile_light_gray, 0.50, 0.50
Atum 2, atum:ceramic_tile_lime, 0.50, 0.50
Atum 2, atum:ceramic_tile_magenta, 0.50, 0.50
Atum 2, atum:ceramic_tile_orange, 0.50, 0.50
Atum 2, atum:ceramic_tile_pink, 0.50, 0.50
Atum 2, atum:ceramic_tile_purple, 0.50, 0.50
Atum 2, atum:ceramic_tile_red, 0.50, 0.50
Atum 2, atum:ceramic_tile_white, 0.50, 0.50
Atum 2, atum:ceramic_tile_yellow, 0.50, 0.50
Atum 2, atum:ceramic_wall_black, 1.50, 6.00
Atum 2, atum:ceramic_wall_blue, 1.50, 6.00
Atum 2, atum:ceramic_wall_brown, 1.50, 6.00
Atum 2, atum:ceramic_wall_cyan, 1.50, 6.00
Atum 2, atum:ceramic_wall_gray, 1.50, 6.00
Atum 2, atum:ceramic_wall_green, 1.50, 6.00
Atum 2, atum:ceramic_wall_light_blue, 1.50, 6.00
Atum 2, atum:ceramic_wall_light_gray, 1.50, 6.00
Atum 2, atum:ceramic_wall_lime, 1.50, 6.00
Atum 2, atum:ceramic_wall_magenta, 1.50, 6.00
Atum 2, atum:ceramic_wall_orange, 1.50, 6.00
Atum 2, atum:ceramic_wall_pink, 1.50, 6.00
Atum 2, atum:ceramic_wall_purple, 1.50, 6.00
Atum 2, atum:ceramic_wall_red, 1.50, 6.00
Atum 2, atum:ceramic_wall_white, 1.50, 6.00
Atum 2, atum:ceramic_wall_yellow, 1.50, 6.00
Atum 2, atum:ceramic_white, 1.50, 6.00
Atum 2, atum:ceramic_yellow, 1.50, 6.00
Atum 2, atum:chiseled_stairs, 1.50, 8.00
Atum 2, atum:chiseled_wall, 1.50, 8.00
Atum 2, atum:coal_ore, 3.00, 3.00
Atum 2, atum:cracked_brick_stairs, 1.50, 8.00
Atum 2, atum:cracked_brick_wall, 1.50, 8.00
Atum 2, atum:cracked_stairs, 1.50, 10.00
Atum 2, atum:crystal_glass, 0.30, 0.30
Atum 2, atum:crystal_glass_pane, 0.30, 0.30
Atum 2, atum:cyan_stained_crystal_glass, 0.30, 0.30
Atum 2, atum:cyan_stained_crystal_glass_pane, 0.30, 0.30
Atum 2, atum:cyan_stained_deadwood_framed_crystal_glass, 0.30, 0.30
Atum 2, atum:cyan_stained_deadwood_framed_crystal_glass_pane, 0.30, 0.30
Atum 2, atum:cyan_stained_palm_framed_crystal_glass, 0.30, 0.30
Atum 2, atum:cyan_stained_palm_framed_crystal_glass_pane, 0.30, 0.30
Atum 2, atum:date_block, 0.35, 0.35
Atum 2, atum:deadwood_branch, 0.80, 5.00
Atum 2, atum:deadwood_button, 0.50, 0.50
Atum 2, atum:deadwood_crate, 2.00, 3.00
Atum 2, atum:deadwood_curio_display, 1.50, 1.00
Atum 2, atum:deadwood_door, 2.00, 3.00
Atum 2, atum:deadwood_fence, 2.00, 3.00
Atum 2, atum:deadwood_fence_gate, 2.00, 3.00
Atum 2, atum:deadwood_framed_crystal_glass, 0.30, 0.30
Atum 2, atum:deadwood_framed_crystal_glass_pane, 0.30, 0.30
Atum 2, atum:deadwood_hatch, 3.00, 3.00
Atum 2, atum:deadwood_ladder, 0.40, 0.40
Atum 2, atum:deadwood_log, 1.00, 1.00
Atum 2, atum:deadwood_planks, 2.00, 3.00
Atum 2, atum:deadwood_pressure_plate, 0.50, 0.50
Atum 2, atum:deadwood_scaffolding, 0.00, 0.00
Atum 2, atum:deadwood_sign, 1.00, 1.00
Atum 2, atum:deadwood_slab, 2.00, 3.00
Atum 2, atum:deadwood_stairs, 2.00, 3.00
Atum 2, atum:deadwood_torch, 0.00, 0.00
Atum 2, atum:deadwood_torch_unlit, 0.00, 0.00
Atum 2, atum:deadwood_wall_sign, 1.00, 1.00
Atum 2, atum:deadwood_wood, 1.00, 1.00
Atum 2, atum:diamond_ore, 3.00, 3.00
Atum 2, atum:dirty_bone_block, 2.00, 2.00
Atum 2, atum:dirty_bone_slab, 2.00, 2.00
Atum 2, atum:dry_grass, 0.00, 0.00
Atum 2, atum:dry_leaves, 0.20, 0.20
Atum 2, atum:emerald_ore, 3.00, 3.00
Atum 2, atum:emmer_block, 0.50, 0.50
Atum 2, atum:emmer_wheat, 0.00, 0.00
Atum 2, atum:fertile_soil, 0.50, 0.50
Atum 2, atum:fertile_soil_path, 0.65, 0.65
Atum 2, atum:fertile_soil_tilled, 0.50, 0.50
Atum 2, atum:flax_block, 0.00, 0.00
Atum 2, atum:geb_godforged_block, 50.00, 1200.00
Atum 2, atum:glassblower_furnace, 3.50, 3.50
Atum 2, atum:godforge, 3.50, 3.50
Atum 2, atum:godforged_block, 50.00, 1200.00
Atum 2, atum:gold_ore, 3.00, 3.00
Atum 2, atum:gray_stained_crystal_glass, 0.30, 0.30
Atum 2, atum:gray_stained_crystal_glass_pane, 0.30, 0.30
Atum 2, atum:gray_stained_deadwood_framed_crystal_glass, 0.30, 0.30
Atum 2, atum:gray_stained_deadwood_framed_crystal_glass_pane, 0.30, 0.30
Atum 2, atum:gray_stained_palm_framed_crystal_glass, 0.30, 0.30
Atum 2, atum:gray_stained_palm_framed_crystal_glass_pane, 0.30, 0.30
Atum 2, atum:green_stained_crystal_glass, 0.30, 0.30
Atum 2, atum:green_stained_crystal_glass_pane, 0.30, 0.30
Atum 2, atum:green_stained_deadwood_framed_crystal_glass, 0.30, 0.30
Atum 2, atum:green_stained_deadwood_framed_crystal_glass_pane, 0.30, 0.30
Atum 2, atum:green_stained_palm_framed_crystal_glass, 0.30, 0.30
Atum 2, atum:green_stained_palm_framed_crystal_glass_pane, 0.30, 0.30
Atum 2, atum:horus_godforged_block, 50.00, 1200.00
Atum 2, atum:iron_ore, 3.00, 3.00
Atum 2, atum:isis_godforged_block, 50.00, 1200.00
Atum 2, atum:khnumite_block, 2.00, 2.00
Atum 2, atum:khnumite_face, 2.00, 2.00
Atum 2, atum:khnumite_raw, 0.60, 0.60
Atum 2, atum:kiln, 3.50, 3.50
Atum 2, atum:kiln_fake, 1.50, 10.00
Atum 2, atum:lantern_of_anput, 3.50, 3.50
Atum 2, atum:lantern_of_anubis, 3.50, 3.50
Atum 2, atum:lantern_of_atem, 3.50, 3.50
Atum 2, atum:lantern_of_geb, 3.50, 3.50
Atum 2, atum:lantern_of_horus, 3.50, 3.50
Atum 2, atum:lantern_of_isis, 3.50, 3.50
Atum 2, atum:lantern_of_montu, 3.50, 3.50
Atum 2, atum:lantern_of_nepthys, 3.50, 3.50
Atum 2, atum:lantern_of_nuit, 3.50, 3.50
Atum 2, atum:lantern_of_osiris, 3.50, 3.50
Atum 2, atum:lantern_of_ptah, 3.50, 3.50
Atum 2, atum:lantern_of_ra, 3.50, 3.50
Atum 2, atum:lantern_of_seth, 3.50, 3.50
Atum 2, atum:lantern_of_shu, 3.50, 3.50
Atum 2, atum:lantern_of_tefnut, 3.50, 3.50
Atum 2, atum:lapis_ore, 3.00, 3.00
Atum 2, atum:large_stairs, 1.50, 8.00
Atum 2, atum:large_wall, 1.50, 8.00
Atum 2, atum:light_blue_stained_crystal_glass, 0.30, 0.30
Atum 2, atum:light_blue_stained_crystal_glass_pane, 0.30, 0.30
Atum 2, atum:light_blue_stained_deadwood_framed_crystal_glass, 0.30, 0.30
Atum 2, atum:light_blue_stained_deadwood_framed_crystal_glass_pane, 0.30, 0.30
Atum 2, atum:light_blue_stained_palm_framed_crystal_glass, 0.30, 0.30
Atum 2, atum:light_blue_stained_palm_framed_crystal_glass_pane, 0.30, 0.30
Atum 2, atum:light_gray_stained_crystal_glass, 0.30, 0.30
Atum 2, atum:light_gray_stained_crystal_glass_pane, 0.30, 0.30
Atum 2, atum:light_gray_stained_deadwood_framed_crystal_glass, 0.30, 0.30
Atum 2, atum:light_gray_stained_deadwood_framed_crystal_glass_pane, 0.30, 0.30
Atum 2, atum:light_gray_stained_palm_framed_crystal_glass, 0.30, 0.30
Atum 2, atum:light_gray_stained_palm_framed_crystal_glass_pane, 0.30, 0.30
Atum 2, atum:lime_stained_crystal_glass, 0.30, 0.30
Atum 2, atum:lime_stained_crystal_glass_pane, 0.30, 0.30
Atum 2, atum:lime_stained_deadwood_framed_crystal_glass, 0.30, 0.30
Atum 2, atum:lime_stained_deadwood_framed_crystal_glass_pane, 0.30, 0.30
Atum 2, atum:lime_stained_palm_framed_crystal_glass, 0.30, 0.30
Atum 2, atum:lime_stained_palm_framed_crystal_glass_pane, 0.30, 0.30
Atum 2, atum:limestone, 1.80, 6.00
Atum 2, atum:limestone_brick_carved, 1.50, 8.00
Atum 2, atum:limestone_brick_carved_door, 1.50, 8.00
Atum 2, atum:limestone_brick_chiseled, 1.50, 8.00
Atum 2, atum:limestone_brick_chiseled_door, 1.50, 8.00
Atum 2, atum:limestone_brick_cracked_brick, 1.50, 8.00
Atum 2, atum:limestone_brick_cracked_brick_door, 1.50, 8.00
Atum 2, atum:limestone_brick_large, 1.50, 8.00
Atum 2, atum:limestone_brick_large_door, 1.50, 8.00
Atum 2, atum:limestone_brick_small, 1.50, 8.00
Atum 2, atum:limestone_brick_small_door, 1.50, 8.00
Atum 2, atum:limestone_button, 0.50, 0.50
Atum 2, atum:limestone_carved_slab, 2.00, 6.00
Atum 2, atum:limestone_chest, 3.00, 10.00
Atum 2, atum:limestone_chiseled_slab, 2.00, 6.00
Atum 2, atum:limestone_cracked, 1.50, 10.00
Atum 2, atum:limestone_cracked_brick_slab, 2.00, 6.00
Atum 2, atum:limestone_cracked_door, 1.50, 10.00
Atum 2, atum:limestone_cracked_slab, 2.00, 6.00
Atum 2, atum:limestone_cracked_wall, 1.50, 10.00
Atum 2, atum:limestone_curio_display, 1.50, 1.00
Atum 2, atum:limestone_door, 1.80, 6.00
Atum 2, atum:limestone_furnace, 3.50, 3.50
Atum 2, atum:limestone_gravel, 0.60, 0.60
Atum 2, atum:limestone_large_slab, 2.00, 6.00
Atum 2, atum:limestone_pressure_plate, 0.50, 0.50
Atum 2, atum:limestone_slab, 2.00, 6.00
Atum 2, atum:limestone_small_slab, 2.00, 6.00
Atum 2, atum:limestone_torch, 0.00, 0.00
Atum 2, atum:limestone_torch_unlit, 0.00, 0.00
Atum 2, atum:limestone_wall, 1.80, 6.00
Atum 2, atum:linen_black, 0.80, 0.80
Atum 2, atum:linen_blue, 0.80, 0.80
Atum 2, atum:linen_brown, 0.80, 0.80
Atum 2, atum:linen_carpet_black, 0.10, 0.10
Atum 2, atum:linen_carpet_blue, 0.10, 0.10
Atum 2, atum:linen_carpet_brown, 0.10, 0.10
Atum 2, atum:linen_carpet_cyan, 0.10, 0.10
Atum 2, atum:linen_carpet_gray, 0.10, 0.10
Atum 2, atum:linen_carpet_green, 0.10, 0.10
Atum 2, atum:linen_carpet_light_blue, 0.10, 0.10
Atum 2, atum:linen_carpet_light_gray, 0.10, 0.10
Atum 2, atum:linen_carpet_lime, 0.10, 0.10
Atum 2, atum:linen_carpet_magenta, 0.10, 0.10
Atum 2, atum:linen_carpet_orange, 0.10, 0.10
Atum 2, atum:linen_carpet_pink, 0.10, 0.10
Atum 2, atum:linen_carpet_purple, 0.10, 0.10
Atum 2, atum:linen_carpet_red, 0.10, 0.10
Atum 2, atum:linen_carpet_white, 0.10, 0.10
Atum 2, atum:linen_carpet_yellow, 0.10, 0.10
Atum 2, atum:linen_cyan, 0.80, 0.80
Atum 2, atum:linen_gray, 0.80, 0.80
Atum 2, atum:linen_green, 0.80, 0.80
Atum 2, atum:linen_light_blue, 0.80, 0.80
Atum 2, atum:linen_light_gray, 0.80, 0.80
Atum 2, atum:linen_lime, 0.80, 0.80
Atum 2, atum:linen_magenta, 0.80, 0.80
Atum 2, atum:linen_orange, 0.80, 0.80
Atum 2, atum:linen_pink, 0.80, 0.80
Atum 2, atum:linen_purple, 0.80, 0.80
Atum 2, atum:linen_red, 0.80, 0.80
Atum 2, atum:linen_white, 0.80, 0.80
Atum 2, atum:linen_yellow, 0.80, 0.80
Atum 2, atum:magenta_stained_crystal_glass, 0.30, 0.30
Atum 2, atum:magenta_stained_crystal_glass_pane, 0.30, 0.30
Atum 2, atum:magenta_stained_deadwood_framed_crystal_glass, 0.30, 0.30
Atum 2, atum:magenta_stained_deadwood_framed_crystal_glass_pane, 0.30, 0.30
Atum 2, atum:magenta_stained_palm_framed_crystal_glass, 0.30, 0.30
Atum 2, atum:magenta_stained_palm_framed_crystal_glass_pane, 0.30, 0.30
Atum 2, atum:marl, 0.60, 0.60
Atum 2, atum:montu_godforged_block, 50.00, 1200.00
Atum 2, atum:nebu_block, 3.00, 6.00
Atum 2, atum:nebu_chain, 5.00, 6.00
Atum 2, atum:nebu_curio_display, 1.50, 1.00
Atum 2, atum:nebu_lantern, 3.50, 3.50
Atum 2, atum:nebu_ore, 3.00, 3.00
Atum 2, atum:nebu_torch, 0.00, 0.00
Atum 2, atum:nebu_torch_unlit, 0.00, 0.00
Atum 2, atum:nepthys_godforged_block, 50.00, 1200.00
Atum 2, atum:nuit_godforged_block, 50.00, 1200.00
Atum 2, atum:oasis_grass, 0.00, 0.00
Atum 2, atum:ophidian_tongue, 0.20, 0.20
Atum 2, atum:orange_stained_crystal_glass, 0.30, 0.30
Atum 2, atum:orange_stained_crystal_glass_pane, 0.30, 0.30
Atum 2, atum:orange_stained_deadwood_framed_crystal_glass, 0.30, 0.30
Atum 2, atum:orange_stained_deadwood_framed_crystal_glass_pane, 0.30, 0.30
Atum 2, atum:orange_stained_palm_framed_crystal_glass, 0.30, 0.30
Atum 2, atum:orange_stained_palm_framed_crystal_glass_pane, 0.30, 0.30
Atum 2, atum:osiris_godforged_block, 50.00, 1200.00
Atum 2, atum:palm_button, 0.50, 0.50
Atum 2, atum:palm_crate, 2.00, 3.00
Atum 2, atum:palm_curio_display, 1.50, 1.00
Atum 2, atum:palm_door, 2.00, 3.00
Atum 2, atum:palm_fence, 2.00, 3.00
Atum 2, atum:palm_fence_gate, 2.00, 3.00
Atum 2, atum:palm_framed_crystal_glass, 0.30, 0.30
Atum 2, atum:palm_framed_crystal_glass_pane, 0.30, 0.30
Atum 2, atum:palm_hatch, 3.00, 3.00
Atum 2, atum:palm_ladder, 0.40, 0.40
Atum 2, atum:palm_leaves, 0.20, 0.20
Atum 2, atum:palm_log, 2.00, 2.00
Atum 2, atum:palm_planks, 2.00, 3.00
Atum 2, atum:palm_pressure_plate, 0.50, 0.50
Atum 2, atum:palm_sapling, 0.00, 0.00
Atum 2, atum:palm_scaffolding, 0.00, 0.00
Atum 2, atum:palm_sign, 1.00, 1.00
Atum 2, atum:palm_slab, 2.00, 3.00
Atum 2, atum:palm_stairs, 2.00, 3.00
Atum 2, atum:palm_torch, 0.00, 0.00
Atum 2, atum:palm_torch_unlit, 0.00, 0.00
Atum 2, atum:palm_wall_sign, 1.00, 1.00
Atum 2, atum:palm_wood, 2.00, 2.00
Atum 2, atum:papyrus, 0.00, 0.00
Atum 2, atum:pink_stained_crystal_glass, 0.30, 0.30
Atum 2, atum:pink_stained_crystal_glass_pane, 0.30, 0.30
Atum 2, atum:pink_stained_deadwood_framed_crystal_glass, 0.30, 0.30
Atum 2, atum:pink_stained_deadwood_framed_crystal_glass_pane, 0.30, 0.30
Atum 2, atum:pink_stained_palm_framed_crystal_glass, 0.30, 0.30
Atum 2, atum:pink_stained_palm_framed_crystal_glass_pane, 0.30, 0.30
Atum 2, atum:poison_trap, 1.50, 1.50
Atum 2, atum:porphyry, 1.50, 5.00
Atum 2, atum:porphyry_brick_carved, 1.50, 5.00
Atum 2, atum:porphyry_brick_pillar, 1.50, 5.00
Atum 2, atum:porphyry_brick_polished, 1.50, 5.00
Atum 2, atum:porphyry_brick_smooth, 1.50, 5.00
Atum 2, atum:porphyry_brick_tiled, 1.50, 5.00
Atum 2, atum:porphyry_carved_slab, 1.50, 5.00
Atum 2, atum:porphyry_carved_stairs, 1.50, 5.00
Atum 2, atum:porphyry_carved_wall, 1.50, 5.00
Atum 2, atum:porphyry_curio_display, 1.50, 1.00
Atum 2, atum:porphyry_pillar_slab, 1.50, 5.00
Atum 2, atum:porphyry_pillar_stairs, 1.50, 5.00
Atum 2, atum:porphyry_pillar_wall, 1.50, 5.00
Atum 2, atum:porphyry_polished_slab, 1.50, 5.00
